sr_no,scn_no,sheet,reason
1,01/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,01/DD/GR.B2024-25,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
3,02/2024-25,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,02/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,03/2024-25,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,03/2025-26/DD/GR.-B,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,04/ 2024-25/ Gr-E / NMS,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
8,04/2025-26/DD/Gr-C,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
9,05/ 2024-25/ Gr-E / NMS,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
10,05/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
11,06/2024-25,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
12,06/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
13,07/2024-25,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
14,07/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
15,08/2024-25,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
16,09/DD/GR.B/2024-25,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
17,10/2024-25/DD/Gr-C,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
18,11/2024-25/DD/Gr-C,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
19,11/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
20,12/2024-25,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
21,13/2024-25,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
22,14/2024-25,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
23,15/2024-25,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
24,15/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
25,16/ 2025-26/ Gr-E / NMS,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
26,16/2024-25,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
27,16/2024-25,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
28,17/ 2025-26/ Gr-E / NMS,DD_AD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
29,18/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
30,19/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
31,20/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
32,21/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
33,22/2025-26/Gr-C,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
34,23/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
35,24/2025-26/DD/Gr-C,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
36,25/2025-26/DD/Gr-C,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
37,26/2025-26/Gr-C,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
38,27/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
39,28/2025-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
40,29/25-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
41,30/25-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,31/25-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,32/25-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,33/25-26,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
1,01-2026-27,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,02-2026-27,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
3,03-2026-27,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,04-2026-27,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,05-2026-27,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,06-2026-27,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,07-2026-27,DD_AD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
1,01/2024-25,SIO,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,01/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
3,02/ 2024-25/ Gr-E / NMS,SIO,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,02/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,03/2024-25,SIO,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,04/2024-25,SIO,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,05/2024-25,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
8,05/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
9,06/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
10,07/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
11,08/2025-26,SIO,"{'message': ""Could not find the 'gstins' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
12,09/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
13,10/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
14,11/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
15,12/2025-26,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
1,01/2026-27,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,02/2026-27,SIO,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
