sr_no,sheet,ir_no,digit_id,reason
1,IR Issued (2026-27),01/GST/2026-27,20260415124631-410,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,IR Issued (2026-27),02/GST/2026-27,2026041513000-782,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
3,IR Issued (2026-27),03/2026-27-GST,20260401132436-258,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,IR Issued (2026-27),05/GST/2026-27,20260402185921-988,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,IR Issued (2026-27),06/2026-27/GST,20260409175444-324,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,IR Issued (2026-27),07 /GST/2026-27,20260408131135-615,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,IR Issued (2026-27),08 /GST/2026-27,202604008132559-501,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
8,IR Issued (2026-27),09 /GST/2026-27,20260408131834-506,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
9,IR Issued (2026-27),10 /GST/2026-27,20260408133647-407,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
10,IR Issued (2026-27),11/GST/2026-27,20260408131609-763,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
11,IR Issued (2026-27),12/GST/2026-27,20260408132521-615,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
12,IR Issued (2026-27),13/GST/2026-27,20260408133604-140,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
13,IR Issued (2026-27),14/GST/2026-27,20260410121116-248,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
14,IR Issued (2026-27),15/2026-27-GST,20260410125842-547,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
15,IR Issued (2026-27),16/GST/2026-27,20260410125838-256,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
16,IR Issued (2026-27),17/GST/2026-27,20260410133356-922,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
17,IR Issued (2026-27),18/GST/2026-27,20260410134157-268,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
18,IR Issued (2026-27),19/2026-27-GST,20260410134225-354,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
19,IR Issued (2026-27),20/GST/2026-27,20260410172315-888,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
20,IR Issued (2026-27),21/GST/2026-27,20260410170005-174,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
21,IR Issued (2026-27),23/GST/2026-27,20260420131222-875,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
22,IR Issued (2026-27),24/GST/2026-27,20260422140738-429,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
23,IR Issued (2026-27),35/GST/2026-27,20260514185000-264,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
24,IR Issued (2026-27),37/GST/2026-27,20260518152926-406,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
25,IR Issued (2026-27),42/GST/2026-27,20260505180013-321,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
26,IR Issued (2026-27),32/GST/2026-27,20260512162921-645,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
27,IR Issued (2026-27),36/GST/2026-27,20260519132236-339,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
28,IR Issued (2026-27),38/GST/2026-27,20260519131241-303,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
29,IR Issued (2026-27),29/GST/2026-27,20260505170719-694,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
