sr_no,digit_id,ir_no,reason
1,,438/GST/2024-25,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,,486/GST/2024-25,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
3,20251103132254-640,119/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,,51/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,20251127183930-604,130/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,,68/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,,67/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
8,,80/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
9,,81/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
10,,82/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
11,,91/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
12,,92/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
13,,117/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
14,,113/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
15,,114/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
16,,115/GST/2025.26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
17,,131/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
18,,138/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
19,,128/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
20,20251127191013-973,133/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
21,20251222173830-459,145/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
22,20251224114458-846,151/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
23,20251222181104-914,146/2025-26-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
24,20251223124003-500,149/2025-26-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
25,20251223134216-925,150/2025-26-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
26,20260119145429-638,153/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
27,20260120181632-355,155/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
28,20260219123009-583,167/2025-26-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
29,20260212172722-362,163/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
30,20260217160134-210,164/2025-26-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
31,20260218180643-703,165/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
32,20260202171318-260,160/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
33,20260202162321-165,159/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
34,20260205174048-905,162/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
35,20260202133045-678,158/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
36,20260402140052-906,172/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
37,20260304161817-983,171/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
38,20260327173937-574,176/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
39,,178/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
40,20260323154845-352,175/GST/2025-26,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
41,20260410172315-888,20/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,20260410125838-256,16/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,20260408131609-763,11/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,20260408132521-615,12/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
45,20260408133604-140,13/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
46,20260410133356-922,17/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
47,20260410134157-268,18/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
48,20260402185921-988,05/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
49,20260410125842-547,15/2026-27-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
50,20260401132436-258,03/2026-27-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
51,20260410134225-354,19/2026-27-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
52,20260409175444-324,06/2026-27/GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
53,20260415124631-410,01/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
54,20260410170005-174,21/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
55,20260420131222-875,23/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
56,20260514185000-264,35/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
57,20260518152926-406,37/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
58,20260505180013-321,42/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
