sr_no,record_id,legacy_no,reason
1,1/GST/2025-26,1,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,2/GST/2025-26,2,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,3/GST/2025-26,4,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,4/GST/2025-26,5,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,5/GST/2025-26,6,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,6/GST/2025-26,7,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
3,7/GST/2025-26,3,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
8,8/GST/2025-26,8,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
9,9/GST/2025-26,9,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
10,10/GST/2025-26,10,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
11,11/GST/2025-26,11,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
12,12/GST/2025-26,12,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
13,13/GST/2025-26,13,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
14,14/GST/2025-26,14,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
15,15/GST/2025-26,15,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
34,16/GST/2025-26,34,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
16,17/GST/2025-26,16,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
17,18/GST/2025-26,17,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
18,19/GST/2025-26,18,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
19,20/GST/2025-26,19,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
20,21/GST/2025-26,20,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
21,22/GST/2025-26,21,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
22,23/GST/2025-26,22,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
23,24/GST/2025-26,23,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
24,25/GST/2025-26,24,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
25,26/GST/2025-26,25,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
26,27/GST/2025-26,26,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
27,28/GST/2025-26,27,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
28,29/GST/2025-26,28,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
29,30/GST/2025-26,29,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
30,31/GST/2025-26,30,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
31,32/GST/2025-26,31,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
32,33/GST/2025-26,32,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
33,34/GST/2025-26,33,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
35,35/GST/2025-26,35,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
36,36/GST/2025-26,36,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
37,37/GST/2025-26,37,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
38,38/GST/2025-26,38,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
39,39/GST/2025-26,39,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
40,40/GST/2025-26,40,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
41,41/GST/2025-26,41,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,42/GST/2025-26,42,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,43/GST/2025-26,43,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,44/GST/2025-26,44,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
45,45/GST/2025-26,45,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
46,46/GST/2025-26,46,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
47,47/GST/2025-26,47,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
48,48/GST/2025-26,48,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
49,49/GST/2025-26,49,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
53,50/GST/2025-26,53,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
50,51/GST/2025-26,50,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
51,52/GST/2025-26,51,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
52,53/GST/2025-26,52,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
54,54/GST/2025-26,54,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
