sr_no,file_no,reason
1,DGGI/INT/INTL/13/2026-DD/AD-IV,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,DGGI/INT/INTL/14/2026-DD/AD-IV,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
3,DGGI/INT/INTL/26/2026-Gr D-O/o Pr. ADG-DGGI-ZU-MUM,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,DGGI/INT/INTL/28/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,DGGI/INT/INTL/25/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,DGGI/INV/GST/39/2026-DD/AD-I-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,DGGI/INV/4/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
8,DGGI/INT/INTL/43/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
9,DGGI/INT/INTL/1175/2025-Gr D-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
10,DGGI/INT/4/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
11,DGGI/INT/INTL/58/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
12,DGGI/INT/INTL/63/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
13,DGGI/INT/INTL/64/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
14,DGGI/INT/MISC/16/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
15,DGGI/INT/INTL/68/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
16,DGGI/INT/INTL/72/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
17,DGGI/INV/GST/3086/2024-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
18,DGGI/INT/INTL/89/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
19,DGGI/INT/INTL/86/2026-Gr D-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
20,DGGI/INT/INTL/94/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
21,DGGI/INT/INTL/103/2026-Gr D-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
22,DGGI/INT/INTL/106/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
23,DGGI/INT/INTL/920/2025-Gr F-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
24,DGGI/INT/INTL/126/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
25,DGGI/INT/INTL/98/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
