sr_no,record_id,reason
3,PA-003,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
1,PA-001,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
2,PA-002,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
4,PA-004,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
5,PA-005,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
6,PA-006,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
7,PA-007,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
8,PA-008,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
9,PA-009,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
10,PA-010,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
11,PA-011,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
12,PA-012,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
13,PA-013,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
14,PA-014,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
15,PA-015,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
16,PA-016,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
17,PA-017,"{'message': ""Could not find the 'arrest_status' column of 'dggi_provisional_attachment_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
