
Commissionerate List with Code
AGARTALA - UX
AGRA - ZX
AHMEDABAD NORTH - WT
AHMEDABAD SOUTH - WS
AIZAWL - UW
ALLAHABAD - ZV
ALWAR - WO
AURANGABAD - VJ
BELAGAVI - TC
BELAPUR - VU
BENGALURU EAST - YT
BENGALURU NORTH - YW
BENGALURU NORTH WEST - YX
BENGALURU SOUTH - YV
BENGALURU WEST - YU
BHAVNAGAR - WW
BHIWANDI - VQ
BHOPAL - UI
BHUBANESHWAR - WJ
BOLPUR - WF
CHANDIGARH - ZC
CHENNAI NORTH - TK
CHENNAI OUTER - XL
CHENNAI SOUTH - TL
COIMBATORE - XM
DAMAN - TB
DEHARADUN - YF
DELHI EAST - ZK
DELHI NORTH - ZI
DELHI SOUTH - ZJ
DELHI WEST - ZL
DIBRUGARH - UR
DIMAPUR - UU
FARIDABAD - ZP
GANDHINAGAR - WU
GAUTAM BUDDHA NAGAR - YD
GHAZIABAD - YE
GOA - UF
GUNTUR - YK
GURUGRAM - ZO
GUWAHATI - UQ
HALDIA - WD
HOWRAH - WC
HYDERABAD - YN
IMPHAL - UV
INDORE - UJ
ITANAGAR - UT
JABALPUR - UK
JAIPUR - WM
JALANDHAR - ZE
JAMMU - ZA
JAMSHEDPUR - XX
JODHPUR - WN
KANPUR - ZW
KOCHI - TI
KOLHAPUR - UE
KOLKATA NORTH - WA
KOLKATA SOUTH - WB
KOZHIKODE - TJ
KUTCH (GANDHIDHAM) - WX
LUCKNOW - ZU
LUDHIANA - ZD
MADURAI - XO
MANGALORE - YZ
MEDCHAL - YP
MEERUT - YB
MUMBAI CENTRAL - VO
MUMBAI EAST - VM
MUMBAI SOUTH - VN
MUMBAI WEST - VP
MYSURU - YY
NAGPUR I - VG
NAGPUR II - VH
NASHIK - VI
NAVI MUMBAI - VW
NOIDA - YC
PALGHAR - VV
PANCHKULA - ZQ
PATNA I - XU
PATNA II - XV
PUDUCHERRY - XQ
PUNE I - UC
PUNE II - UD
RAIGARH - VT
RAIPUR - UM
RAJKOT - WV
RANCHI - XW
RANGAREDDY - YQ
ROHTAK - ZR
ROURKELA - WK
SALEM - XP
SECUNDERABAD - YO
SHILLONG - US
SHIMLA - ZB
SILIGURI - WE
SURAT - VC
THANE - VR
THANE RURAL - VS
THIRUVANANTHAPURAM - TH
TIRUCHIRAPALLY - XN
TIRUPATI - YL
UDAIPUR - WP
UJJAIN - UL
VADODARA I - TA
VADODARA II - VB
VARANASI - ZY
VISAKHAPATNAM - YJ
